,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,0,partie,part
1,1,1,1,1,histoire,history
2,2,2,2,2,chercher,search
3,3,3,3,3,seulement,only
4,4,4,4,4,police,police
5,5,5,5,5,pensais,thought
6,6,6,6,6,aide,help
7,7,7,7,7,demande,request
8,8,8,8,8,genre,kind
9,9,9,9,9,mois,month
10,10,10,10,10,frère,brother
11,11,11,11,12,car,because
12,12,12,12,13,mettre,to put
13,13,13,13,14,aucun,no
14,15,15,15,16,eux,them
15,16,16,16,17,ville,city
16,17,17,17,18,chaque,each
17,18,18,18,19,parlé,speak
18,19,19,19,20,arrivé,come
19,20,20,20,21,devrait,should
20,21,21,21,23,longtemps,long time
21,22,22,22,24,heures,hours
22,23,23,23,25,vont,will
23,24,24,24,26,pendant,while
24,25,26,26,28,aucune,any
25,26,27,27,29,place,square
26,27,28,28,30,parle,speak
27,28,29,29,31,compris,understood
28,29,30,30,32,savais,knew
29,30,31,31,33,étaient,were
30,31,32,32,34,attention,Warning
31,32,33,33,35,voici,here is
32,33,34,34,36,pourrais,could
33,34,35,35,37,affaire,case
34,35,36,36,38,donner,give
35,37,38,38,40,leurs,their
36,38,39,39,41,donné,given
37,39,40,40,42,train,train
38,40,41,41,43,corps,body
39,41,42,42,44,endroit,place
40,42,43,43,45,yeux,eyes
41,43,44,44,46,façon,way
42,44,45,45,47,écoute,listen
43,45,46,46,48,dont,whose
44,46,47,47,49,trouve,find
45,47,48,48,50,premier,first
46,48,49,49,51,perdu,lost
47,50,51,51,53,première,first
48,52,53,54,56,vieux,old
49,53,54,55,57,sois,be
50,54,55,56,58,tiens,here
51,55,56,57,59,matin,morning
52,56,57,58,60,tellement,so much
53,57,58,59,61,enfant,child
54,59,60,61,63,venu,came
55,60,61,62,65,pardon,sorry
56,61,62,63,66,venez,come
57,62,63,64,67,devant,in front of
58,63,64,65,68,vers,towards
59,64,65,66,69,minutes,minutes
60,65,66,67,70,demandé,request
61,66,67,68,71,chambre,bedroom
62,67,68,69,72,mis,placed
63,68,69,70,73,belle,beautiful
64,69,70,71,74,droit,law
65,70,71,72,75,aujourd'hui,today
66,71,72,73,76,mari,husband
67,72,73,74,79,espère,hope
68,73,74,75,80,eau,water
69,74,75,76,81,attendez,Wait
70,75,76,77,82,parti,left
71,76,77,78,83,nouvelle,new
72,78,79,80,85,arrêter,Stop
73,79,80,81,86,dirait,would say
74,80,81,82,87,terre,Earth
75,81,82,83,88,compte,account
76,82,83,85,90,loin,far
77,83,84,86,91,fin,end
78,84,85,87,92,croire,believe
79,85,86,88,93,chérie,sweetheart
80,86,87,89,94,gros,large
81,87,88,90,95,plutôt,rather
82,88,90,92,97,filles,girls
83,89,91,93,98,jouer,to play
84,90,92,94,99,bureau,office
